 INFO  Accepting connections at http://localhost:8080
 HTTP  8/31/2026 5:14:11 PM ::1 GET /
 HTTP  8/31/2026 5:14:11 PM ::1 Returned 200 in 23 ms
 HTTP  8/31/2026 5:14:11 PM ::1 GET /_next/static/css/ff563e96360a001e.css
 HTTP  8/31/2026 5:14:11 PM ::1 GET /_next/static/chunks/webpack-29957205745576aa.js
 HTTP  8/31/2026 5:14:11 PM ::1 Returned 200 in 5 ms
 HTTP  8/31/2026 5:14:11 PM ::1 Returned 200 in 4 ms
 HTTP  8/31/2026 5:14:11 PM ::1 GET /_next/static/chunks/fd9d1056-87da80e0c187477b.js
 HTTP  8/31/2026 5:14:11 PM ::1 GET /_next/static/chunks/117-632973ba55688f62.js
 HTTP  8/31/2026 5:14:11 PM ::1 GET /_next/static/chunks/main-app-6fca1515cee9a03c.js
 HTTP  8/31/2026 5:14:11 PM ::1 GET /_next/static/chunks/642-87f4d8d44e42827b.js
 HTTP  8/31/2026 5:14:11 PM ::1 GET /_next/static/chunks/44530001-792177c4c52bbd93.js
 HTTP  8/31/2026 5:14:11 PM ::1 GET /_next/static/chunks/app/page-8e99e1f18c2bb2ab.js
 HTTP  8/31/2026 5:14:11 PM ::1 Returned 200 in 9 ms
 HTTP  8/31/2026 5:14:11 PM ::1 Returned 200 in 10 ms
 HTTP  8/31/2026 5:14:11 PM ::1 Returned 200 in 7 ms
 HTTP  8/31/2026 5:14:11 PM ::1 Returned 200 in 13 ms
 HTTP  8/31/2026 5:14:11 PM ::1 Returned 200 in 9 ms
 HTTP  8/31/2026 5:14:11 PM ::1 Returned 200 in 28 ms
 HTTP  8/31/2026 5:14:11 PM ::1 GET /_next/static/chunks/972-773d843e15e97eb0.js
 HTTP  8/31/2026 5:14:11 PM ::1 GET /_next/static/chunks/app/layout-f30c8a866de716da.js
 HTTP  8/31/2026 5:14:11 PM ::1 Returned 200 in 17 ms
 HTTP  8/31/2026 5:14:11 PM ::1 Returned 200 in 7 ms
 HTTP  8/31/2026 5:14:11 PM ::1 GET /santri.txt?_rsc=19zvn
 HTTP  8/31/2026 5:14:11 PM ::1 GET /orangtua.txt?_rsc=19zvn
 HTTP  8/31/2026 5:14:11 PM ::1 GET /ustadz.txt?_rsc=19zvn
 HTTP  8/31/2026 5:14:11 PM ::1 GET /admin.txt?_rsc=19zvn
 HTTP  8/31/2026 5:14:11 PM ::1 Returned 200 in 6 ms
 HTTP  8/31/2026 5:14:11 PM ::1 Returned 200 in 5 ms
 HTTP  8/31/2026 5:14:11 PM ::1 Returned 200 in 5 ms
 HTTP  8/31/2026 5:14:11 PM ::1 Returned 200 in 4 ms
 HTTP  8/31/2026 5:14:11 PM ::1 GET /_next/static/chunks/app/santri/page-d30d420ee947fd04.js
 HTTP  8/31/2026 5:14:11 PM ::1 GET /_next/static/chunks/app/orangtua/page-f9f81ace704a824a.js
 HTTP  8/31/2026 5:14:11 PM ::1 GET /_next/static/chunks/app/ustadz/page-36c8a87e5df46063.js
 HTTP  8/31/2026 5:14:11 PM ::1 GET /_next/static/chunks/app/admin/page-d951e587fe613085.js
 HTTP  8/31/2026 5:14:11 PM ::1 Returned 200 in 7 ms
 HTTP  8/31/2026 5:14:11 PM ::1 Returned 200 in 6 ms
 HTTP  8/31/2026 5:14:11 PM ::1 Returned 200 in 4 ms
 HTTP  8/31/2026 5:14:11 PM ::1 Returned 200 in 5 ms
